Playoff,G,MP,FG,FGA,FGA_G,Fgper,Three_P,Three_P_G,Three_PA,Three_PA_G,Three_Pper,Two_P,Two_P_G,Two_PA,Two_PA_G,Two_Pper,FT,FT_G,FTA,FTA_G,Ftper,ORB,ORB_G,DRB,DRB_G,TRB,TRB_G,AST,STL,STL_G,BLK,BLK_G,TOV,TOV_G,PF,PTS,PTS_G,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,Tsper,eFGper,TOVper,ORBper,FT_FGA,eFGperOp,TOVperOp,DRBperDef,FT_FGA_Op
0,82,19805,2765,6777,82.64634146,0.408,692,8.43902439,2160,26.34146341,0.32,2073,25.2804878,4617,56.30487805,0.449,1320,16.09756098,1953,23.81707317,0.676,978,11.92682927,2536,30.92682927,3514,42.85365854,1683,789,9.62195122,487,5.93902439,1453,17.7195122,1778,7542,92,23.2,18,64,-8.98,-0.07,-9.04,95.5,104.8,95.7,0.288,0.319,0.494,0.459,16,25.5,0.195,0.497,15.2,73,0.225
0,82,19880,3178,7038,85.82926829,0.452,698,8.512195122,2048,24.97560976,0.341,2480,30.24390244,4990,60.85365854,0.497,1343,16.37804878,1767,21.54878049,0.76,896,10.92682927,2643,32.23170732,3539,43.15853659,1659,700,8.536585366,385,4.695121951,1238,15.09756098,1744,8397,102.4,25.7,38,44,-0.9,0.52,-0.38,105.3,106.2,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14,73.5,0.221
1,82,19855,3175,7049,85.96341463,0.45,807,9.841463415,2231,27.20731707,0.362,2368,28.87804878,4818,58.75609756,0.491,1272,15.51219512,1589,19.37804878,0.801,879,10.7195122,2881,35.13414634,3760,45.85365854,1799,525,6.402439024,372,4.536585366,1117,13.62195122,1494,8429,102.8,27,53,29,4.23,0.18,4.41,108.2,103.7,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182
0,82,19855,3010,6617,80.69512195,0.455,461,5.62195122,1350,16.46341463,0.341,2549,31.08536585,5267,64.23170732,0.484,1829,22.30487805,2400,29.26829268,0.762,895,10.91463415,2728,33.26829268,3623,44.18292683,1667,550,6.707317073,324,3.951219512,1333,16.25609756,1696,8310,101.3,26,31,51,-3.71,0.64,-3.07,105.3,109.2,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2
1,82,19955,3208,6854,83.58536585,0.468,677,8.256097561,1847,22.52439024,0.367,2531,30.86585366,5007,61.06097561,0.505,1368,16.68292683,1754,21.3902439,0.78,806,9.829268293,2772,33.80487805,3578,43.63414634,2000,657,8.012195122,443,5.402439024,1146,13.97560976,1564,8461,103.2,29.8,58,24,6.2,0.14,6.34,108.5,102,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19
1,82,19855,3108,6829,83.2804878,0.455,726,8.853658537,2060,25.12195122,0.352,2382,29.04878049,4769,58.15853659,0.499,1585,19.32926829,2014,24.56097561,0.787,881,10.74390244,2526,30.80487805,3407,41.54878049,1701,615,7.5,357,4.353658537,1057,12.8902439,1712,8527,104,26.1,49,33,3.07,-0.62,2.45,111,107.7,92.8,0.295,0.302,0.553,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208
0,82,19705,2900,6492,79.17073171,0.447,610,7.43902439,1781,21.7195122,0.343,2290,27.92682927,4711,57.45121951,0.486,1391,16.96341463,1929,23.52439024,0.721,988,12.04878049,2617,31.91463415,3605,43.96341463,1632,623,7.597560976,489,5.963414634,1256,15.31707317,1583,7801,95.1,23.4,42,40,0.22,0.49,0.71,105.1,104.9,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199
1,82,19955,3139,6790,82.80487805,0.462,497,6.06097561,1381,16.84146341,0.36,2642,32.2195122,5409,65.96341463,0.488,1305,15.91463415,1758,21.43902439,0.742,862,10.51219512,2801,34.15853659,3663,44.67073171,1969,601,7.329268293,378,4.609756098,1233,15.03658537,1707,8080,98.5,28.6,43,39,0.72,-0.55,0.17,103.7,103,93.7,0.259,0.203,0.534,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21
1,82,19830,3061,6688,81.56097561,0.458,768,9.365853659,2116,25.80487805,0.363,2293,27.96341463,4572,55.75609756,0.502,1392,16.97560976,1782,21.73170732,0.781,713,8.695121951,2565,31.2804878,3278,39.97560976,2041,680,8.292682927,326,3.975609756,1251,15.25609756,1577,8282,101,27.5,40,42,-0.48,-0.4,-0.88,105.9,106.4,94.6,0.266,0.316,0.554,0.515,14.3,21,0.208,0.51,14,74.4,0.196
0,82,19730,2996,6883,83.93902439,0.435,575,7.012195122,1729,21.08536585,0.333,2421,29.52439024,5154,62.85365854,0.47,1325,16.15853659,1706,20.80487805,0.777,980,11.95121951,2505,30.54878049,3485,42.5,1726,584,7.12195122,343,4.182926829,1261,15.37804878,1743,7892,96.2,25.4,28,54,-4.46,-0.51,-4.97,102.9,107.7,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
1,82,19880,2931,6391,77.93902439,0.459,709,8.646341463,1922,23.43902439,0.369,2222,27.09756098,4469,54.5,0.497,1508,18.3902439,2002,24.41463415,0.753,721,8.792682927,2407,29.35365854,3128,38.14634146,1714,705,8.597560976,311,3.792682927,1191,14.52439024,1777,8079,98.5,30,38,44,-1,-0.58,-1.58,106.7,107.7,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236
1,82,19905,2976,6730,82.07317073,0.442,516,6.292682927,1471,17.93902439,0.351,2460,30,5259,64.13414634,0.468,1474,17.97560976,2000,24.3902439,0.737,776,9.463414634,2724,33.2195122,3500,42.68292683,1778,499,6.085365854,421,5.134146341,1010,12.31707317,1493,7942,96.9,25.5,40,42,-0.22,-0.67,-0.89,103.6,103.8,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183
1,82,19930,2843,6577,80.20731707,0.432,508,6.195121951,1459,17.79268293,0.348,2335,28.47560976,5118,62.41463415,0.456,1486,18.12195122,1908,23.26829268,0.779,937,11.42682927,2683,32.7195122,3620,44.14634146,1860,594,7.243902439,424,5.170731707,1223,14.91463415,1565,7680,93.7,28.6,47,35,1.85,-0.66,1.2,102.5,100.5,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189
0,82,19930,3036,6955,84.81707317,0.437,584,7.12195122,1640,20,0.356,2452,29.90243902,5315,64.81707317,0.461,1398,17.04878049,1861,22.69512195,0.751,989,12.06097561,2629,32.06097561,3618,44.12195122,1738,579,7.06097561,304,3.707317073,1163,14.18292683,1640,8054,98.2,24.9,32,50,-3.29,-0.57,-3.86,104.2,107.7,93.1,0.268,0.236,0.518,0.479,13,27.2,0.201,0.508,13,75.8,0.199
1,82,19830,3249,6858,83.63414634,0.474,721,8.792682927,1877,22.8902439,0.384,2528,30.82926829,4981,60.74390244,0.508,1378,16.80487805,1733,21.13414634,0.795,840,10.24390244,2514,30.65853659,3354,40.90243902,1935,704,8.585365854,356,4.341463415,1110,13.53658537,1636,8597,104.8,30.6,48,34,2.4,0.5,2.91,111.2,108.7,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
0,82,19755,3147,7042,85.87804878,0.447,702,8.56097561,1959,23.8902439,0.358,2445,29.81707317,5083,61.98780488,0.481,1563,19.06097561,2154,26.26829268,0.726,1009,12.30487805,2717,33.13414634,3726,45.43902439,1838,615,7.5,459,5.597560976,1305,15.91463415,1890,8559,104.4,26,35,47,-2.15,0.75,-1.4,106,108.2,98.1,0.306,0.278,0.536,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233
0,82,19780,3182,7124,86.87804878,0.447,507,6.182926829,1580,19.26829268,0.321,2675,32.62195122,5544,67.6097561,0.483,1415,17.25609756,2111,25.74390244,0.67,1196,14.58536585,2525,30.79268293,3721,45.37804878,1714,687,8.37804878,395,4.817073171,1193,14.54878049,1666,8286,101,24.7,31,51,-3.66,-0.48,-4.13,105.9,109.7,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
1,82,19830,3236,7005,85.42682927,0.462,774,9.43902439,2037,24.84146341,0.38,2462,30.02439024,4968,60.58536585,0.496,1303,15.8902439,1731,21.1097561,0.753,896,10.92682927,2819,34.37804878,3715,45.30487805,1912,642,7.829268293,407,4.963414634,1247,15.20731707,1784,8549,104.3,26.3,54,28,4.8,0.34,5.15,107.5,102.6,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
1,82,19830,3118,6603,80.52439024,0.472,779,9.5,2179,26.57317073,0.358,2339,28.52439024,4424,53.95121951,0.529,1814,22.12195122,2549,31.08536585,0.712,920,11.2195122,2797,34.1097561,3717,45.32926829,1755,621,7.573170732,461,5.62195122,1323,16.13414634,1676,8829,107.7,25.4,53,29,4.56,0.5,5.06,111,106.3,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
1,82,19780,2949,6573,80.15853659,0.449,550,6.707317073,1542,18.80487805,0.357,2399,29.25609756,5031,61.35365854,0.477,1485,18.1097561,1907,23.25609756,0.779,834,10.17073171,2831,34.52439024,3665,44.69512195,1651,550,6.707317073,446,5.43902439,1237,15.08536585,1675,7933,96.7,27.2,54,28,4.4,-0.77,3.63,104.1,99.3,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
1,82,19755,3208,6761,82.45121951,0.474,693,8.451219512,1966,23.97560976,0.352,2515,30.67073171,4795,58.47560976,0.525,1741,21.23170732,2384,29.07317073,0.73,858,10.46341463,2668,32.53658537,3526,43,2016,703,8.573170732,397,4.841463415,1136,13.85365854,1767,8850,107.9,28.1,59,23,6.98,0.3,7.27,112.1,104.8,95.9,0.353,0.291,0.567,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
