Playoff,FG_G,FGA_G,Fgper,Three_P_G,Three_PA_G,Three_Pper,Two_P_G,Two_PA_G,Two_Pper,FT_G,FTA_G,Ftper,ORB_G,DRB_G,TRB_G,AST_G,STL_G,BLK_G,TOV_G,PF_G,Age,FTr,Three_PAr,Tsper,eFGper,TOVper,ORBper,FT_FGA,eFGperOp,TOVperOp,DRBperDef,FT_FGA_Op
0,35.8902439,81.73170732,0.439,5.487804878,17.98780488,0.305,30.40243902,63.74390244,0.477,18.47560976,24.90243902,0.742,11.86585366,30.15853659,42.02439024,22.3902439,8.536585366,4.719512195,14.80487805,18.40243902,26.4,0.305,0.22,0.516,0.473,13.8,27.4,0.226,0.511,15,74,0.187
0,37.79268293,87.29268293,0.433,8.048780488,24.7804878,0.325,29.74390244,62.51219512,0.476,17.82926829,24.2804878,0.734,12.34146341,32.35365854,44.69512195,21.80487805,7.817073171,4.475609756,14.2195122,22.95121951,26.4,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13,74.7,0.239
1,35.46341463,78.19512195,0.454,6.06097561,17.86585366,0.339,29.40243902,60.32926829,0.487,20.59756098,28.26829268,0.729,11.69512195,30.62195122,42.31707317,19.02439024,6.914634146,4.780487805,13.86585366,21.13414634,27.1,0.362,0.228,0.538,0.492,13.3,28.4,0.263,0.49,12.8,75.7,0.226
0,35.41463415,82.53658537,0.429,5.231707317,15.2195122,0.344,30.18292683,67.31707317,0.448,17.97560976,24.3902439,0.737,12.23170732,28.65853659,40.8902439,19.31707317,6.670731707,3.756097561,13.69512195,21.26829268,25.8,0.296,0.184,0.504,0.461,12.8,28.1,0.218,0.502,12.7,68.7,0.214
0,35.03658537,77.62195122,0.451,4.792682927,14.67073171,0.327,30.24390244,62.95121951,0.48,18.42682927,24.37804878,0.756,10.34146341,29.80487805,40.14634146,21.07317073,6.390243902,5.280487805,14.53658537,19.96341463,26.9,0.314,0.189,0.528,0.482,14.1,25.7,0.237,0.5,12.9,75.2,0.229
0,36.68292683,81.70731707,0.449,5.268292683,14.93902439,0.353,31.41463415,66.76829268,0.471,17.6097561,23.1097561,0.762,11.7804878,29.97560976,41.75609756,18.98780488,6.012195122,5.134146341,14.86585366,21.36585366,27.6,0.283,0.183,0.524,0.481,13.9,27.6,0.216,0.502,12.8,72.4,0.239
1,38.32926829,80.76829268,0.475,4.780487805,13.68292683,0.349,33.54878049,67.08536585,0.5,22.12195122,28.68292683,0.771,11.46341463,29.54878049,41.01219512,24.68292683,8.768292683,4.56097561,14.75609756,22.31707317,25.5,0.355,0.169,0.554,0.504,13.6,28.2,0.274,0.505,15,72.7,0.262
0,36.85365854,82.73170732,0.445,6.865853659,19.46341463,0.353,29.98780488,63.26829268,0.474,15.93902439,20.90243902,0.763,9.682926829,32.36585366,42.04878049,21.04878049,7.682926829,4.268292683,14.90243902,20.46341463,24.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211
1,33.57317073,78.2804878,0.429,5.304878049,14.67073171,0.362,28.26829268,63.6097561,0.444,18.96341463,24.86585366,0.763,10.42682927,29.1097561,39.53658537,21.6097561,7.926829268,3.756097561,14.19512195,24.20731707,27.8,0.318,0.187,0.512,0.463,13.7,25.5,0.242,0.479,15.2,73.2,0.278
0,34.24390244,77.26829268,0.443,5.987804878,16.74390244,0.358,28.25609756,60.52439024,0.467,16.87804878,23.20731707,0.727,9.06097561,28.56097561,37.62195122,20.04878049,7.182926829,4.329268293,14.65853659,20.36585366,27.4,0.3,0.217,0.522,0.482,14.4,22.1,0.218,0.51,13.6,71.9,0.245
1,36.08536585,79.58536585,0.453,7.573170732,20.19512195,0.375,28.51219512,59.3902439,0.48,18.67073171,23.20731707,0.805,10.51219512,32.46341463,42.97560976,20.26829268,6.682926829,4.329268293,14.12195122,18.93902439,27.9,0.292,0.254,0.548,0.501,13.6,26.4,0.235,0.479,11.9,75.3,0.192
0,35.31707317,78.31707317,0.451,5.12195122,14.15853659,0.362,30.19512195,64.15853659,0.471,17.18292683,23.70731707,0.725,11.82926829,29.31707317,41.14634146,21,7.109756098,6.634146341,15.95121951,20.76829268,27,0.303,0.181,0.524,0.484,15.2,29.6,0.219,0.479,12.6,67.7,0.204
0,35.67073171,79.70731707,0.448,7.951219512,21.15853659,0.376,27.7195122,58.54878049,0.473,18.80487805,24.14634146,0.779,10.36585366,29.45121951,39.81707317,19.95121951,6.817073171,4.768292683,13.1097561,22.41463415,25.7,0.303,0.265,0.543,0.497,12.7,25.2,0.236,0.509,13,73.5,0.272
0,36.90243902,82.25609756,0.449,5.512195122,16.01219512,0.344,31.3902439,66.24390244,0.474,17.70731707,24.14634146,0.733,12.86585366,28.81707317,41.68292683,21.46341463,6.634146341,4.402439024,14.75609756,21.31707317,25.8,0.294,0.195,0.522,0.482,13.7,30,0.215,0.524,13,73,0.25
0,41.5,90.31707317,0.459,9.280487805,26.64634146,0.348,32.2195122,63.67073171,0.506,18.75609756,24.92682927,0.752,12.74390244,30.43902439,43.18292683,22.35365854,9.073170732,4.597560976,13.19512195,22.86585366,25.5,0.276,0.295,0.548,0.511,11.5,27.2,0.208,0.509,14.7,70.3,0.258
0,36.09756098,81.01219512,0.446,5.573170732,15.6097561,0.357,30.52439024,65.40243902,0.467,19.12195122,26.04878049,0.734,11.2195122,28.6097561,39.82926829,22.3902439,7.780487805,4.5,14.92682927,24.20731707,25.5,0.322,0.193,0.524,0.48,13.9,26.4,0.236,0.5,14.7,71.6,0.279
0,38.2804878,85.12195122,0.45,9.43902439,24.7804878,0.381,28.84146341,60.34146341,0.478,16.95121951,22.37804878,0.757,9.085365854,31.95121951,41.03658537,24.46341463,7.451219512,5.43902439,15.1097561,19.84146341,26.8,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192
1,36.85365854,78.70731707,0.468,8,20.36585366,0.393,28.85365854,58.34146341,0.495,18.57317073,24.53658537,0.757,10.80487805,31.3902439,42.19512195,20.2804878,7.231707317,5.304878049,12.74390244,20.2804878,26.6,0.312,0.259,0.56,0.519,12.5,27.7,0.236,0.468,13.5,74.6,0.226
1,36.98780488,80.13414634,0.462,3.975609756,10.93902439,0.363,33.01219512,69.19512195,0.477,16.59756098,21.25609756,0.781,10.67073171,32.25609756,42.92682927,23.04878049,6.841463415,5.634146341,12.7195122,21.1097561,29.7,0.265,0.137,0.528,0.486,12.4,26.7,0.207,0.444,12.9,72.5,0.215
1,38.12195122,83.48780488,0.457,6.012195122,15.76829268,0.381,32.1097561,67.7195122,0.474,19.91463415,25.02439024,0.796,11.82926829,30.25609756,42.08536585,21.12195122,7.5,5.524390244,14.53658537,20.84146341,24.9,0.3,0.189,0.541,0.493,13.3,28,0.239,0.493,13.1,70.9,0.238
0,32.70731707,76.34146341,0.428,4.134146341,12.09756098,0.342,28.57317073,64.24390244,0.445,18.43902439,24.5,0.753,11.47560976,29.36585366,40.84146341,20,7.975609756,4.365853659,15.93902439,20.74390244,27.5,0.321,0.158,0.505,0.456,15.5,28.2,0.242,0.467,14.7,70.7,0.231
0,38.37804878,85.87804878,0.447,8.56097561,23.8902439,0.358,29.81707317,61.98780488,0.481,19.06097561,26.26829268,0.726,12.30487805,33.13414634,45.43902439,22.41463415,7.5,5.597560976,15.91463415,23.04878049,26,0.306,0.278,0.536,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233
1,38.29268293,83.74390244,0.457,9.329268293,25.37804878,0.368,28.96341463,58.36585366,0.496,20.59756098,25.45121951,0.809,10.32926829,30.12195122,40.45121951,21.42682927,7.62195122,5.792682927,13.69512195,21.25609756,25.3,0.304,0.303,0.561,0.513,12.6,24.2,0.246,0.511,13.8,71.9,0.24
1,38.12195122,79.31707317,0.481,7.292682927,19.36585366,0.377,30.82926829,59.95121951,0.514,22.18292683,26.7804878,0.828,10.41463415,33.23170732,43.64634146,21.37804878,8.280487805,7.609756098,15.2804878,20.17073171,26,0.338,0.244,0.58,0.527,14.4,26.7,0.28,0.469,13.5,73.4,0.197
0,36.39393939,82.07575758,0.443,7.242424242,20.93939394,0.346,29.15151515,61.13636364,0.477,17.16666667,21.56060606,0.796,11.13636364,29.53030303,40.66666667,20.43939394,8,4.878787879,14.16666667,18.95454545,27.5,0.263,0.255,0.531,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199
